author_name,database,datestamp,document_type,doi,id,identifier,keywords,language,msc,ref_ids,reviewer_name,subtitle,text,title,year,zbmath_url
"Weilert, André",Zbl,0001-01-01T00:00:00Z,journal article,https://doi.org/10.1006/jsco.2000.0422,1570912,1053.11093,nothing,English,"JSON3.Object[{
     ""code"": ""11Y16"",
   ""scheme"": ""msc2020"",
     ""text"": ""Number-theoretic algorithms; complexity""
}, {
     ""code"": ""68W40"",
   ""scheme"": ""msc2020"",
     ""text"": ""Analysis of algorithms""
}]",918133; 3581610; 1170449; 3728392; 1186932; 3119278; 47996; 1263309; 3959562; 4125499; 4208194; 1052006; 3029478; 1313469; 3995051; 4108845; 3853202; 3985348; 194780; 4856; 3354613; 641702; 3354612; 558439; 3269479; 1186933; 1105952; 968647; 1643956,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,\((1+i)\)-ary GCD computation in \(\mathbb Z[i]\) as an analogue to the binary GCD algorithm.,2000,https://zbmath.org/1570912
"Cesari, Giovanni",Zbl,0001-01-01T00:00:00Z,serial article,,1254036,923.68075,package of parallel algorithms; CALYPSO,English,"JSON3.Object[{
     ""code"": ""68W30"",
   ""scheme"": ""msc2020"",
     ""text"": ""Symbolic computation and algebraic computation""
}]",,,,"Summary: We present a package of parallel algorithms for multiple precision arithmetic, implemented by using a message-passing model of computation. These algorithms are organized in an object oriented library and perform parallel arithmetic in \(Z\), \(Q\), and \(Z_p\).


The library has a layered structure which provides portability and the possibility of extending the code easily. In the bottom layer we implement fundamental parallel algorithms which are machine dependent. Starting from integer multiplication, we developed different parallel Karatsuba-type and FFT-based schemes, including the integer 3-primes and floating-point FFT algorithms. These multiplication algorithms allowed us to design a parallel Newton method for division. Parallel algorithms for modular arithmetic result by using both Montgomery's and classical arithmetic.


We designed these algorithms under a message-passing model of computation. These are implemented on different parallel platforms, targeting both distributed memory machines, such as massively parallel processing systems and networks of workstations, and shared memory architectures. We developed both architecture dependent and architecture independent algorithms by using standard interfaces such as the Message Passing Interface, MPI.


On top of this layer we provide a convenient interface to the user which allows a sequential programming style, while each algorithm is executed in parallel. At this level it is possible for the user to implement high level parallel algorithms, such as the GCD, which are machine independent. 


Finally we integrated our package in a computer algebra system, which uses a sequential frontend for interactive use, and a parllel backend for computation. 


We have called this package CALYPSO, a sort of package acronym for Computer Algebra Library for Parallel Symbolic Computation.

For the entire collection see [Zbl 0903.00086].",CALYPSO: A computer algebra library for parallel symbolic computation,1997,https://zbmath.org/1254036
"Cesaratto, Eda; Clément, Julien; Daireaux, Benoît; Lhote, Loïck; Maume-Deschamps, Véronique; Vallée, Brigitte",Zbl,2009-06-18T11:36:42Z,journal article,https://doi.org/10.1016/j.jsc.2008.04.018,5566485,1179.11049,Euclid algorithm; divide and conquer algorithms; fast multiplication; analysis of algorithms; transfer operators; Perron formula,English,"JSON3.Object[{
     ""code"": ""11Y16"",
   ""scheme"": ""msc2020"",
     ""text"": ""Number-theoretic algorithms; complexity""
}, {
     ""code"": ""37C30"",
   ""scheme"": ""msc2020"",
     ""text"": ""Functional analytic techniques in dynamical systems; zeta functions, (Ruelle-Frobenius) transfer operators, etc.""
}, {
     ""code"": ""68W40"",
   ""scheme"": ""msc2020"",
     ""text"": ""Analysis of algorithms""
}]",2120796; 2153786; 3581610; 1186932; 5050603; 2158026; 3328299; 1187682; 549646; 4012703; 5485323; 5485437; 3336026; 701297; 1199954; 1254004; 786280; 3303654; 3440002; 3029478; 5267047; 5345310; 4205458; 5216416; 3622081; 3354613; 2194094; 1626662; 1965333; 5054065,Jean-Paul Allouche,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Regularity of the Euclid algorithm; application to the analysis of fast GCD algorithms,2009,https://zbmath.org/5566485
"Karl, Holger",Zbl,0001-01-01T00:00:00Z,serial article,,1630137,969.68507,clusters of workstations,English,"JSON3.Object[{
     ""code"": ""68N19"",
   ""scheme"": ""msc2020"",
     ""text"": ""Other programming paradigms (object-oriented, sequential, concurrent, automatic, etc.)""
}]",,,,"Summary: Clusters of workstations are an attractive environment for high performance computing. For some applications, however, clusters still lack certain properties. One such property is responsive (dependable and timely) execution of programs. This paper studies two mechanisms (checkpointing and replication) to improve the responsiveness (the probability of meeting a deadline in the presence of faults) of a parallel programming system, Calypso, by ameliorating a single point of failure of Calypso. Experiments show that checkpointing is a suitable tool to achieve high responsiveness and that already a very modest degree of replication is sufficient for improved responsiveness.

For the entire collection see [Zbl 0934.00022].",Fault-tolerance mechanisms for a parallel programming system -- a responsiveness perspective,2000,https://zbmath.org/1630137
"Tuchman, Allan; Cybenko, George; Jablonowski, David; Bliss, Brian; Sharma, Sanjay",Zbl,0001-01-01T00:00:00Z,serial article,,434599,800.68976,remote data visualization,English,"JSON3.Object[{
     ""code"": ""68U05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Computer graphics; computational geometry (digital and algorithmic aspects)""
}]",,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Vista: A system for remote data visualization,1992,https://zbmath.org/434599
"Tsay, Ruey S.",Zbl,2012-08-21T15:20:21Z,book / book article,,6069716,1279.91003,financial data; time series; volatility; forecasting; AR; MA; ARMA; GARCH models; value at risk; expected shortfall; high-frequency data; market microstructure; quantile regression,English,"JSON3.Object[{
     ""code"": ""91-01"",
   ""scheme"": ""msc2020"",
     ""text"": ""Introductory exposition (textbooks, tutorial papers, etc.) pertaining to game theory, economics, and finance""
}, {
     ""code"": ""91G70"",
   ""scheme"": ""msc2020"",
     ""text"": ""Statistical methods; risk measures""
}, {
     ""code"": ""91-04"",
   ""scheme"": ""msc2020"",
     ""text"": ""Software, source code, etc. for problems pertaining to game theory, economics, and finance""
}, {
     ""code"": ""91B84"",
   ""scheme"": ""msc2020"",
     ""text"": ""Economic time series analysis""
}, {
     ""code"": ""62M10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Time series, auto-correlation, regression, etc. in statistics (GARCH)""
}, {
     ""code"": ""62P05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Applications of statistics to actuarial sciences and financial mathematics""
}]",,Małgorzata Doman,,"This book is thought as an introductory textbook for financial time series analysis. The idea of the author was to make the lecture as user-friendly as possible. The concepts of economic and statistical theory are presented in a simple and concise manner. The lecture focuses on practical aspects of financial data analysis. The objectives of the book expressed by the author are: to provide basic knowledge of financial time series, to introduce statistical tools for analyzing financial data, and to gain experience in financial applications. The book consists of seven chapters.

Chapter 1 presents some basic concepts dealing with financial data (asset returns, bond yields and prices, implied volatility). Next, the R program is introduced and first applications of its packages are used to present some stylized facts about financial data and ways to visualize the data.

Chapter 2 introduces basics of linear time series analysis. The importance of weak stationarity is pointed. Next the author discusses correlation and autocorrelation and the notion of linear time series. The autoregressive (AR), moving average (MA) and ARMA models are presented in detail. Some attention is paid to unit-root nonstationarity and long memory. The exponential smoothing as a method of forecasting is presented. Seasonal models and regression models with time series errors are briefly discussed. The last section of the chapter deals with model comparison and averaging.

Chapter 3 includes three case studies of linear time series. An extensive analysis of weekly regular gasoline price, global temperature anomalies and the US monthly unemployment rates is presented. This chapter is especially useful for beginners in the subject, because it shows step by step the process of modeling the data.

Chapter 4 addresses the problem of volatility measures and models. After describing the general structure of volatility models, the GARCH family is discussed quite extensively. The stochastic volatility models are mentioned. The chapter ends with information concerning the daily volatility measures based on intraday data.

Chapter 5 shows some applications of such volatility models. The presented examples include the GARCH volatility term structure, option pricing and hedging, time varying betas and minimum variance portfolios.

Chapter 6 deals with intraday data. First, some market microstructure effects and the specific properties of trading data are discussed. Next, the author presents models for price changes (ordered probit model and decomposition model) and autoregressive conditional duration (ACD models). More careful discussion on realized volatility and the methods of handling the microstructure noise from its estimates is performed.

The subject of the last, seventh, chapter of the book is value at risk (VaR). The notion of coherence of risk measures is presented with VaR and expected shortfall serving as examples of non-coherent and coherent risk measures. Next, the RiskMetrics methodology is discussed in detail. Further, the author applies volatility models to calculate VaR. Quantile regression and extreme value theory are presented as tools for VaR estimation.

Summarizing, this is an excellent textbook for an introductory but intensive course in financial econometrics, ready to use in teaching with no additional requirements and preparations. The theory is presented in simple, easy to understand way. Numerous examples illustrate well the practical aspects of financial time series analysis. The plots and demonstrations contained in the book make the modeling process and its results easy understandable. Most of the data used in the examples can be easily downloaded from open sources. The used software, the R packages, is free and works on most operating systems. Due to the combination of all these things, the book is useful if only the lecturer and students have computers and access to the internet. Even though the simplicity of the lecture, the book presents the most important topics in financial econometrics including new developments. All it makes the book extremely useful for teachers and students, and also for practitioners seeking for short path to financial data analysis and risk modeling.",An introduction to analysis of financial data with R.,2013,https://zbmath.org/6069716
RESSTE Network; et al.,Zbl,2017-11-24T10:55:02Z,journal article,,6812419,1378.62139,space-time; covariance function; geostatistics; kriging; air pollution,English,"JSON3.Object[{
     ""code"": ""62P12"",
   ""scheme"": ""msc2020"",
     ""text"": ""Applications of statistics to environmental and related topics""
}, {
     ""code"": ""86A32"",
   ""scheme"": ""msc2020"",
     ""text"": ""Geostatistics""
}, {
     ""code"": ""62M40"",
   ""scheme"": ""msc2020"",
     ""text"": ""Random fields; image analysis""
}, {
     ""code"": ""62-01"",
   ""scheme"": ""msc2020"",
     ""text"": ""Introductory exposition (textbooks, tutorial papers, etc.) pertaining to statistics""
}, {
     ""code"": ""62-04"",
   ""scheme"": ""msc2020"",
     ""text"": ""Software, source code, etc. for problems pertaining to statistics""
}]",,,,"Summary: We present an overview of (geo-)statistical models, methods and techniques for the analysis and prediction of continuous spatio-temporal processes residing in continuous space. Various approaches exist for building statistical models for such processes, estimating their parameters and performing predictions. We cover the Gaussian process approach, very common in spatial statistics and geostatistics, and we focus on R-based implementations of numerical procedures. To illustrate and compare the use of some of the most relevant packages, we treat a real-world application with high-dimensional data. The target variable is the daily mean PM\(_{10}\) concentration predicted thanks to a chemistry-transport model and observation series collected at monitoring stations across France in 2014. We give R code covering the full work-flow from importing data sets to the prediction of PM\(_{10}\) concentrations with a fitted parametric model, including the visualization of data, estimation of the parameters of the spatio-temporal covariance function and model selection. We conclude with some elements of comparison between the packages that are available today and some discussion for future developments.",Analyzing spatio-temporal data with R: everything you always wanted to know -- but were afraid to ask,2017,https://zbmath.org/6812419
"Krauss, Christopher; Do, Xuan Anh; Huck, Nicolas",Zbl,2018-05-25T14:45:31Z,journal article,https://doi.org/10.1016/j.ejor.2016.10.031,6873630,1395.91514,finance; deep learning; gradient-boosting; random forests; ensemble learning,English,"JSON3.Object[{
     ""code"": ""91G70"",
   ""scheme"": ""msc2020"",
     ""text"": ""Statistical methods; risk measures""
}, {
     ""code"": ""68T05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Learning and adaptive systems in artificial intelligence""
}, {
     ""code"": ""62P05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Applications of statistics to actuarial sciences and financial mathematics""
}, {
     ""code"": ""62H30"",
   ""scheme"": ""msc2020"",
     ""text"": ""Classification and discrimination; cluster analysis (statistical aspects)""
}]",6591846; 5789665; 6260415; 1687841; 6979450; 1560499; 1079986; 1715471; 5492743; 6151863; 5772612; 6321963; 6378127,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"Deep neural networks, gradient-boosted trees, random forests: statistical arbitrage on the S\&P 500",2017,https://zbmath.org/6873630
Not available; Not available; Not available; Not available,Zbl,2019-05-16T09:43:10Z,book / book article,https://doi.org/10.1007/978-3-319-89635-9,7055522,1412.62004,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""62-01"",
   ""scheme"": ""msc2020"",
     ""text"": ""Introductory exposition (textbooks, tutorial papers, etc.) pertaining to statistics""
}, {
     ""code"": ""62-04"",
   ""scheme"": ""msc2020"",
     ""text"": ""Software, source code, etc. for problems pertaining to statistics""
}, {
     ""code"": ""62H05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Characterization and structure theory for multivariate probability distributions; copulas""
}, {
     ""code"": ""62F10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Point estimation""
}, {
     ""code"": ""62G05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Nonparametric estimation""
}]",,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2018,https://zbmath.org/7055522
"Arratia, Argimiro",Zbl,2014-08-21T14:11:19Z,book / book article,https://doi.org/10.2991/978-94-6239-070-6,6333330,1309.91001,stocks; trade; price and indices; portfolios and collective investment; financial engineering; price and value of stocks; risk-neutral valuation principle; statistics of financial time series; correlations; causalities; time series models in finance; Brownian motion; Monte Carlo simulation; optimization heuristics in finance; portfolio optimization; outline finance,English,"JSON3.Object[{
     ""code"": ""91-01"",
   ""scheme"": ""msc2020"",
     ""text"": ""Introductory exposition (textbooks, tutorial papers, etc.) pertaining to game theory, economics, and finance""
}, {
     ""code"": ""91G60"",
   ""scheme"": ""msc2020"",
     ""text"": ""Numerical methods (including Monte Carlo methods)""
}, {
     ""code"": ""91-08"",
   ""scheme"": ""msc2020"",
     ""text"": ""Computational methods for problems pertaining to game theory, economics, and finance""
}, {
     ""code"": ""91-04"",
   ""scheme"": ""msc2020"",
     ""text"": ""Software, source code, etc. for problems pertaining to game theory, economics, and finance""
}, {
     ""code"": ""91G10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Portfolio theory""
}, {
     ""code"": ""91G20"",
   ""scheme"": ""msc2020"",
     ""text"": ""Derivative securities (option pricing, hedging, etc.)""
}, {
     ""code"": ""91G70"",
   ""scheme"": ""msc2020"",
     ""text"": ""Statistical methods; risk measures""
}, {
     ""code"": ""91B84"",
   ""scheme"": ""msc2020"",
     ""text"": ""Economic time series analysis""
}, {
     ""code"": ""62P05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Applications of statistics to actuarial sciences and financial mathematics""
}, {
     ""code"": ""60H30"",
   ""scheme"": ""msc2020"",
     ""text"": ""Applications of stochastic analysis (to PDEs, etc.)""
}, {
     ""code"": ""65C05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Monte Carlo methods""
}, {
     ""code"": ""90C59"",
   ""scheme"": ""msc2020"",
     ""text"": ""Approximation methods and heuristics in mathematical programming""
}, {
     ""code"": ""90C90"",
   ""scheme"": ""msc2020"",
     ""text"": ""Applications of mathematical programming""
}]",,Vassil Grozdanov,,"Finance is about managing money. There are several instruments for dealing with money. There are mathematical models for the optimal selection of financial portfolios and for predicting their assets' future values. Also computers can help us with all the necessary real-world data crunching to exploit the formal models to unprecedented possibilities.

The aim of this book is to give knowledge required for all numerical methods, theorems, algorithms and optimization heuristics geared to the solution of problems in economics and finance. Also the subject area includes the computational resolution of financial problems.

Chapter 1 -- an arbidget introduction to finance -- is intended for giving the reader the minimum background on the fundamentals of finance. It is an outlook on the most common financial instruments and the places where these are traded. There is an introduction to investment strategies, portfolio management and basic asset pricing. Section 1.1 is devoted to the problems of financial securities. In Section 1.2, some notions, as a price and value of stocks, an arbitrage and risk-neutral valuation principle, European options, risk-neutral valuation, are presented and discussed. In Section 1.3 some remarks about \texttt{R} lab are given.

In Chapter 2, the author briefly reviews some of the fundamental concepts of statistics, such as moments of a distribution, distribution and density functions, likelihood methods and other tools that are necessary for the analysis of returns and financial time series. In Section 2.1, the notions of time series of returns as simple returns, \(\tau\)-period simple gross returns, log returns, returns with dividends, excess returns are given and discussed. In Section 2.2, a series of distributions, as the normal distribution, distributions of financial returns, the log-normal distribution, the uniform distribution are presented and discussed. The central limit theorem is given. The concept of moments of a random variable is given. In Section 2.3, the notions of stationarity, covariance of two random variables and autocovariance are presented. In Section 2.4, the idea for designing models for predicting future values is developed. In Section 2.5, the idea for maximum likelihood methods, as a technique in statistics, is presented. In Section 2.6, the notions of volatility, scaling the volatility estimates and time dependent weighted volatility are developed. In Section 2.7, some \texttt{R} lab demonstrations for going some descriptive statistics of financial returns are presented.

In Chapter 3, some correlations, causalities and similarities are considered. In Section 3.1, a series of correlations, as a measure of association, are considered. For example, the linear correlation and the rank correlation are developed. In Section 3.3, the notions of the causality as a Granger causality, nonparametric Granger causality are developed. In Section 3.3, the basics of data clustering, clustering methods, hierarchical clustering, partitional clustering and graph based clustering are presented. In Section 3.4, several empirical properties of asset returns using a variety of tools for statistical analysis are learned.

Chapter 4 presents some basic discrete-time models for financial time series. In Section 4.1, some notes on trend and seasonality are presented. Section 4.2 is devoted to present linear processes and autoregressive moving average models. In Section 4.3, some nonlinear models as the autoregressive conditional heteroscedastic model of order \(p\) and the generalized autoregressive conditional heteroscedasticity model of order \(p\) are considered. In Section 4.4, two new nonlinear models as neural networks and support vector machines are developed and illustrated. In Section 4.5, tests for nonlinearity and tests of model performance are given.

Chapter 5 presents Brownian motion, also known as Wiener process. On top of the Brownian motion other more elaborated continuous processes are built, that explain better the behavior of stock prices. Also, the geometric Brownian motion which is at the core of the Black-Scholes option pricing formula, is considered. In Section 5.1, a general review of continuous-time processes is presented. The concepts of the Wiener process, the generalized Wiener process or arithmetic Brownian motion are given. The Itō lemma for the geometric Brownian motion is proved. In Section 5.2, the Black-Scholes model for pricing European options is given and details of the binomial free option pricing model are presented. In Section 5.3, Monte Carlo variation of derivatives, as a numerical approach to valuing securities, is developed. The Euler-Monte Carlo method to calculate the European options with its convergence is given. Also, a Monte Carlo method to calculate the price of Asian options is given. In Section 5.4, some computer lab and problems are presented.

In Chapter 6, two popular approaches, Technical analysis and Fundamental analysis, are considered to investment, although considered as opposite paradigms of financial engineering. In Section 6.1, the concept of Technical analysis with details as chats, support and resistance levels and trends is given. In Subsection 6.1.4, the mathematical foundation for Technical analysis is developed. Section 6.2 is devoted to Fundamental analysis. This chapter finishes with computer lab and problems.

Chapter 7 considers algorithmic methods for finding approximate solutions of the basic optimization problem of minimizing or maximizing. In Section 7.2, the algorithm of the simulated annealing method is presented. In Section 7.3, the basics of genetic programming, as an extension of the genetic algorithm, is presented. Also, the algorithm for finding a technical trading rule is given. In Section 7.4, the ant colony optimization is described and presented as an algorithm. In Section 7.5, it is shown how to combine the individual heuristics to obtain hybrid heuristics. This chapter finishes again with computer lab and problems.

Chapter 8 presents the Markowitz mean-variance model for portfolio optimization and some of tools for portfolio management such as Sharpe ratio, beta of a security and the Capital Asset Pricing Model. In Section 8.1, the details of the mean-variance model of Markowitz are presented. In Section 8.2, portfolios with a risk-free asset are considered. In Section 8.3, an optimization of portfolios under different constraint sets is developed. Also the algorithm for simulated annealing optimization of portfolios is given. Section 8.4 considers the problem of portfolio selection. This chapter finishes again with computer lab and problems.

Chapter 9 presents some problems of online finance as online competitive analysis, online price search, searching for a price at random, online trading, online portfolio selection, the universal online portfolio and efficient universal online portfolio strategies. This chapter finishes again with computer lab and problems.

In Appendix A a brief introduction to \texttt{R} is given. A list of available packages that extend \texttt{R} are presented.",Computational finance. An introductory course with R,2014,https://zbmath.org/6333330
