articles_count,authors,classification,dependencies,description,homepage,id,keywords,license_terms,name,operating_systems,orms_id,programming_languages,related_software,source_code,standard_articles,zbmath_url
106,"Li, X.S., Demmel, J.W.",35;65;68;74;76;05;15;60;78;80;81;82;85;86;90;92,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://crd-legacy.lbl.gov/~xiaoye/SuperLU/,2,orms,,SuperLU-DIST,,265,,"Dict{Symbol, Any}(:id => 4013, :name => ""MUMPS"");Dict{Symbol, Any}(:id => 4012, :name => ""PETSc"");Dict{Symbol, Any}(:id => 930, :name => ""SuperLU"");Dict{Symbol, Any}(:id => 4629, :name => ""SparseMatrix"");Dict{Symbol, Any}(:id => 503, :name => ""LAPACK"");Dict{Symbol, Any}(:id => 679, :name => ""PARDISO"");Dict{Symbol, Any}(:id => 426, :name => ""hypre"");Dict{Symbol, Any}(:id => 989, :name => ""UMFPACK"");Dict{Symbol, Any}(:id => 4089, :name => ""METIS"");Dict{Symbol, Any}(:id => 4028, :name => ""Trilinos"");Dict{Symbol, Any}(:id => 830, :name => ""ScaLAPACK"");Dict{Symbol, Any}(:id => 6749, :name => ""WSMP"");Dict{Symbol, Any}(:id => 4827, :name => ""mctoolbox"");Dict{Symbol, Any}(:id => 7818, :name => ""Scotch"");Dict{Symbol, Any}(:id => 418, :name => ""HSL"");Dict{Symbol, Any}(:id => 3216, :name => ""BLAS"");Dict{Symbol, Any}(:id => 9043, :name => ""MFEM"");Dict{Symbol, Any}(:id => 8067, :name => ""ML"");Dict{Symbol, Any}(:id => 2780, :name => ""SPIKE"");Dict{Symbol, Any}(:id => 6496, :name => ""MPI"")",,"Dict{Symbol, Any}(:year => ""2003"", :authors => Any[], :id => 2187846, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/2
1,"Bobkov, V.F.",65;76,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://www.mathnet.ru/php/archive.phtml?wshow=paper&amp;jrnid=mm&amp;paperid=1110&amp;option_lang=eng,3,numerical methods;mesh generation and refinement;unstructured grids;program package;Euler equations;Navier-Stokes equations;aero- acoustics,,WHISPAR,,,,,,,https://zbmath.org/software/3
9,"R. Ramis, J. Meyer-ter-Vehn, J. Ram&iacute;rez",35;65;76;78;80,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://cpc.cs.qub.ac.uk/summaries/AECV_v1_0.html,4,Inertial Confinement;Radiative Transfer;Lagrangian Hydrodynamics;Plasma Physics.,,MULTI2D,Linux/Unix.,,C.,"Dict{Symbol, Any}(:id => 9029, :name => ""CHIC"");Dict{Symbol, Any}(:id => 3107, :name => ""ZEUS"");Dict{Symbol, Any}(:id => 24041, :name => ""GTEngine"");Dict{Symbol, Any}(:id => 18055, :name => ""CASMO"");Dict{Symbol, Any}(:id => 4028, :name => ""Trilinos"");Dict{Symbol, Any}(:id => 31508, :name => ""MACH2"");Dict{Symbol, Any}(:id => 17500, :name => ""FLASH"");Dict{Symbol, Any}(:id => 19076, :name => ""HYADES"");Dict{Symbol, Any}(:id => 16786, :name => ""TRHD"");Dict{Symbol, Any}(:id => 7607, :name => ""RAGE"");Dict{Symbol, Any}(:id => 12465, :name => ""Maxis"");Dict{Symbol, Any}(:id => 7890, :name => ""Triangle"")",,"Dict{Symbol, Any}(:year => ""2009"", :authors => Any[], :id => 5812948, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/4
127,"Pozrikidis, C.",35;65;74;76;92;37;41;45;49;68;70;78;80;81;82;83;86;93;97,FDLIB,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://dehesa.freeshell.org/BEMLIB/,5,boundary element method;textbook;Green's functions;Laplace equation;boundary integral representation;integral equation;dual reciprocity method;viscous flow;software library BEMLIB;Helmholtz's equation;Stokes flow;boundary integral methods,,BEMLIB,,,,"Dict{Symbol, Any}(:id => 1160, :name => ""SERBA"");Dict{Symbol, Any}(:id => 22960, :name => ""Travis CI"");Dict{Symbol, Any}(:id => 4968, :name => ""DLMF"");Dict{Symbol, Any}(:id => 23170, :name => ""GitHub"");Dict{Symbol, Any}(:id => 558, :name => ""Matlab"");Dict{Symbol, Any}(:id => 12596, :name => ""NOSA-ITACA"");Dict{Symbol, Any}(:id => 25510, :name => ""RIM_DOM.F90"");Dict{Symbol, Any}(:id => 11527, :name => ""quadgk"");Dict{Symbol, Any}(:id => 43767, :name => ""quadva"");Dict{Symbol, Any}(:id => 4091, :name => ""COMSOL"");Dict{Symbol, Any}(:id => 12294, :name => ""FELICITY"");Dict{Symbol, Any}(:id => 646, :name => ""Octave"");Dict{Symbol, Any}(:id => 4317, :name => ""OpenFOAM"");Dict{Symbol, Any}(:id => 12766, :name => ""DistMesh"");Dict{Symbol, Any}(:id => 13557, :name => ""El-Topo"");Dict{Symbol, Any}(:id => 4429, :name => ""spatstat"");Dict{Symbol, Any}(:id => 4012, :name => ""PETSc"");Dict{Symbol, Any}(:id => 22560, :name => ""CPT"");Dict{Symbol, Any}(:id => 4462, :name => ""SC Toolbox"");Dict{Symbol, Any}(:id => 833, :name => ""Schwarz-Christoffel"")",,"Dict{Symbol, Any}(:year => ""2002"", :authors => Any[], :id => 1852568, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/5
37,"Engelman, Michael S.",35;65;76;80;92;74;82;86,None,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://www.sciencedirect.com/science/article/pii/0141119582900201,6,steady state or transient;two-dimensional;axi-symmetric or three- dimensional;complex geometries;heat transfer,None,FIDAP,None,,None,"Dict{Symbol, Any}(:id => 7692, :name => ""SPARSKIT"");Dict{Symbol, Any}(:id => 4031, :name => ""ITSOL"");Dict{Symbol, Any}(:id => 7245, :name => ""ILUS"");Dict{Symbol, Any}(:id => 7204, :name => ""FLAC"");Dict{Symbol, Any}(:id => 8734, :name => ""ILUT"");Dict{Symbol, Any}(:id => 1175, :name => ""ADINA"");Dict{Symbol, Any}(:id => 8700, :name => ""NACHOS"");Dict{Symbol, Any}(:id => 1208, :name => ""ELLPACK"");Dict{Symbol, Any}(:id => 7244, :name => ""ILUM"");Dict{Symbol, Any}(:id => 12613, :name => ""ParPre"");Dict{Symbol, Any}(:id => 9677, :name => ""Wesseling"");Dict{Symbol, Any}(:id => 4015, :name => ""BILUM"");Dict{Symbol, Any}(:id => 503, :name => ""LAPACK"");Dict{Symbol, Any}(:id => 2177, :name => ""DQGMRES"");Dict{Symbol, Any}(:id => 1455, :name => ""P-SPARSLIB"");Dict{Symbol, Any}(:id => 5807, :name => ""BPKit"");Dict{Symbol, Any}(:id => 31920, :name => ""SLEST"");Dict{Symbol, Any}(:id => 8566, :name => ""symrcm"");Dict{Symbol, Any}(:id => 4273, :name => ""PVM"");Dict{Symbol, Any}(:id => 4255, :name => ""ENTWIFE"")",,"Dict{Symbol, Any}(:year => ""1982"", :authors => Any[], :id => 3775087, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/6
4,"Navon, I.M.;Riphagen, H.A.",35;65;68;76,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://people.sc.fsu.edu/~inavon/pubs1/exshall4.pdf,7,implicit compact fourth-order Fortran program;shallow-water equations;conservation-law form,,SHALL 4,,,,"Dict{Symbol, Any}(:id => 24948, :name => ""FDL3DI"")",,"Dict{Symbol, Any}(:year => ""1981"", :authors => Any[], :id => 3742857, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/7
5,"Michelotti, Leo",26;65;68,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://www-bd.fnal.gov/pdriver/booster/meetings/michelotti.pdf,8,nstd;MXYZPTLK;automatic differentiation;fully functional elements of the language;implementations;C++,,MXYZPTLK,,,,"Dict{Symbol, Any}(:id => 19, :name => ""ADOL-C"");Dict{Symbol, Any}(:id => 2185, :name => ""ADIFOR"");Dict{Symbol, Any}(:id => 4001, :name => ""AMPL"");Dict{Symbol, Any}(:id => 7492, :name => ""TAF"");Dict{Symbol, Any}(:id => 6647, :name => ""ADiMat"");Dict{Symbol, Any}(:id => 4866, :name => ""CppAD"");Dict{Symbol, Any}(:id => 4863, :name => ""FADBAD++"");Dict{Symbol, Any}(:id => 3392, :name => ""ADIC"");Dict{Symbol, Any}(:id => 667, :name => ""PADRE2"");Dict{Symbol, Any}(:id => 385, :name => ""GRESS"");Dict{Symbol, Any}(:id => 7788, :name => ""JAKEF"");Dict{Symbol, Any}(:id => 1234, :name => ""L-BFGS-B"");Dict{Symbol, Any}(:id => 7473, :name => ""CompAD"");Dict{Symbol, Any}(:id => 21105, :name => ""ImageNet"");Dict{Symbol, Any}(:id => 17848, :name => ""cuDNN"");Dict{Symbol, Any}(:id => 38522, :name => ""AlexNet"");Dict{Symbol, Any}(:id => 15170, :name => ""TensorFlow"");Dict{Symbol, Any}(:id => 22204, :name => ""RMSprop"");Dict{Symbol, Any}(:id => 22076, :name => ""Tangent"");Dict{Symbol, Any}(:id => 43468, :name => ""NUTS"")",,"Dict{Symbol, Any}(:year => ""1991"", :authors => Any[], :id => 140031, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/8
11,"Buttari, Alfredo;D'Ambra, Pasqua;di Serafino, Daniela;Filippone, Salvatore",49;65;68;76,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://www.mld2p4.it/index.php,9,parallel numerical software;algebraic two-level preconditioners;sparse linear algebra;numerical examples;domain decomposition;additive Schwarz preconditioners;large-scale linear systems,,2LEV-D2P4,,,,"Dict{Symbol, Any}(:id => 7206, :name => ""MLD2P4"");Dict{Symbol, Any}(:id => 4026, :name => ""PSBLAS"");Dict{Symbol, Any}(:id => 86, :name => ""BoomerAMG"");Dict{Symbol, Any}(:id => 4028, :name => ""Trilinos"");Dict{Symbol, Any}(:id => 12976, :name => ""SParC-LES"");Dict{Symbol, Any}(:id => 426, :name => ""hypre"");Dict{Symbol, Any}(:id => 989, :name => ""UMFPACK"");Dict{Symbol, Any}(:id => 27182, :name => ""BootCMatch"");Dict{Symbol, Any}(:id => 8067, :name => ""ML"");Dict{Symbol, Any}(:id => 6496, :name => ""MPI"");Dict{Symbol, Any}(:id => 8578, :name => ""BLACS"");Dict{Symbol, Any}(:id => 13440, :name => ""AmgX"");Dict{Symbol, Any}(:id => 3258, :name => ""CUDA"");Dict{Symbol, Any}(:id => 39030, :name => ""BootCMatchG"");Dict{Symbol, Any}(:id => 23170, :name => ""GitHub"");Dict{Symbol, Any}(:id => 8539, :name => ""Alya"");Dict{Symbol, Any}(:id => 4012, :name => ""PETSc"");Dict{Symbol, Any}(:id => 930, :name => ""SuperLU"");Dict{Symbol, Any}(:id => 3216, :name => ""BLAS"");Dict{Symbol, Any}(:id => 683, :name => ""pARMS"")",,"Dict{Symbol, Any}(:year => ""2007"", :authors => Any[], :id => 5187737, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/9
0,"David Eck, Hermann Karcher, Richard Palais 3D-XplorMath Consortium",,NO,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://3D-XplorMath.org,10,orms,,3D-XplorMath,,299,,,,,https://zbmath.org/software/10
2,"B.C. Garrett, G.C. Lynch, T.C. Allison, D.G. Truhlar",80;81;92,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://comp.chem.umn.edu/abcrate/,11,,Persons requesting the program for academic or non-profit usemust sign the standard CPC non-profit use license (see license agreement printed in the firstissue of every volume); or the license form is available at the URL mentioned above.Persons interested in a for-profit (commercial) license may also use the license formavailable at the URL mentioned above.,ABCRATE,"UNICOS 8.0.3 (Cray Y-MPC90), IRIX 6.2 (IRIS), and AIX 4.1 (IBM)",,FORTRAN 77,"Dict{Symbol, Any}(:id => 8277, :name => ""POLYRATE"");Dict{Symbol, Any}(:id => 8280, :name => ""VENUS96"");Dict{Symbol, Any}(:id => 8279, :name => ""VARIFLEX"");Dict{Symbol, Any}(:id => 8278, :name => ""POTLIB"");Dict{Symbol, Any}(:id => 227, :name => ""Dynasol"")",,"Dict{Symbol, Any}(:year => ""1998"", :authors => Any[], :id => 1328220, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/11
